Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
59.544405937194824	133	16.22	8.644744067929368	44.0	4.0	16.22	8.644744067929368	0.7450538	15.282153	0.0005	0.09999999999999998
60.10043787956238	134	14.78	6.729903416840393	40.0	5.0	14.78	6.729903416840393	0.74189085	15.466854	0.0005	0.09999999999999998
60.733473777770996	135	16.9	7.22841614740048	33.0	4.0	16.9	7.22841614740048	0.7454288	15.36135	0.0005	0.09999999999999998
61.333508253097534	136	16.06	7.8215343763228455	41.0	5.0	16.06	7.8215343763228455	0.7436984	15.595388	0.0005	0.09999999999999998
61.893540143966675	137	14.72	8.002599577637257	35.0	6.0	14.72	8.002599577637257	0.7406907	15.612728	0.0005	0.09999999999999998
62.412569999694824	138	13.54	5.597177860314964	32.0	5.0	13.54	5.597177860314964	0.7374265	15.492674	0.0005	0.09999999999999998
62.98160266876221	139	15.04	7.618293772230105	38.0	4.0	15.04	7.618293772230105	0.7417028	18.11526	0.0005	0.09999999999999998
63.56363582611084	140	15.62	6.505044196621572	32.0	3.0	15.62	6.505044196621572	0.74170196	16.15765	0.0005	0.09999999999999998
64.1216676235199	141	14.8	6.979971346646059	32.0	5.0	14.8	6.979971346646059	0.7383689	12.94841	0.0005	0.09999999999999998
64.64969778060913	142	13.92	5.256767067314282	34.0	6.0	13.92	5.256767067314282	0.73665345	14.505826	0.0005	0.09999999999999998
65.21773028373718	143	15.24	7.8703494204514195	53.0	3.0	15.24	7.8703494204514195	0.7397671	16.03079	0.0005	0.09999999999999998
65.73776006698608	144	13.72	5.834517974948745	34.0	4.0	13.72	5.834517974948745	0.7355666	15.547985	0.0005	0.09999999999999998
66.25779008865356	145	13.84	5.852725860656725	35.0	4.0	13.84	5.852725860656725	0.73607963	17.005142	0.0005	0.09999999999999998
66.75681853294373	146	13.08	5.663355895579934	27.0	4.0	13.08	5.663355895579934	0.7334426	16.382801	0.0005	0.09999999999999998
67.29684925079346	147	14.38	6.418379857876909	36.0	6.0	14.38	6.418379857876909	0.735761	14.981676	0.0005	0.09999999999999998
67.83788013458252	148	14.3	6.113100686231171	31.0	4.0	14.3	6.113100686231171	0.7359755	16.583567	0.0005	0.09999999999999998
68.39591217041016	149	14.9	7.349149610669252	33.0	3.0	14.9	7.349149610669252	0.73701507	16.680964	0.0005	0.09999999999999998
